"initial_alias","converted_alias","name","description","namespace"
"ACTN4","2R0O","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTN4","6O31","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTN4","6OA6","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","1QBJ","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","1QGP","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","1XMK","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","2ACJ","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","2GXB","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","2L54","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","2MDR","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","3F21","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","3F22","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","3F23","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","3IRQ","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","3IRR","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","5ZU1","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","5ZUO","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","5ZUP","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAR","7C0I","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAT1","None","None","None",""
"ADAT3","None","None","None",""
"ADD3","None","None","None",""
"ADK","1BX4","ADK","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADK","2I6A","ADK","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADK","2I6B","ADK","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADK","4O1L","ADK","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGFG1","2D9L","AGFG1","ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGFG1","2OLM","AGFG1","ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGFG1","2VX8","AGFG1","ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGGF1","None","None","None",""
"AGO1","1SI2","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","1SI3","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","4KRE","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","4KRF","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","4KXT","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO1","5W6V","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUC","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUD","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUG","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUH","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUJ","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3LUK","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3QX8","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","3QX9","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4F3T","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4OLA","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4OLB","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5N","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5O","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5Q","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5R","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4W5T","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4C","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4D","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4E","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4F","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4G","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4H","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","4Z4I","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5JS1","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5JS2","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5KI6","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5T7B","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","5WEA","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6CBD","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6MDZ","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6MFN","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6MFR","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6N4O","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6NIT","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","6RA4","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","7C6B","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","7D7U","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO2","7KI3","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGO3","5VM9","AGO3","argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AHCYL2","3GVP","AHCYL2","adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIMP1","1E7Z","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIMP1","1EUJ","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIMP1","1FL0","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIMP1","4R3Z","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKAP1","None","None","None",""
"AKAP8","None","None","None",""
"AKAP8L","None","None","None",""
"ALDH18A1","2H5G","ALDH18A1","aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","1ALD","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","2ALD","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","4ALD","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","5KY6","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","6XMH","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","6XML","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","6XMM","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALDOA","6XMO","ALDOA","aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH1","6IE2","ALKBH1","alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALKBH1","6IE3","ALKBH1","alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","1W7B","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","1XJL","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","2HYU","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","2HYV","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","2HYW","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","4DRW","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","4FTG","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","4HRH","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5LPU","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5LPX","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5LQ0","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5LQ2","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5N7D","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5N7F","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","5N7G","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","6TWQ","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","6TWU","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","6TWX","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","6TWY","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","7DTO","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANXA2","7NMI","ANXA2","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEH","None","None","None",""
"APEX1","1BIX","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1CQG","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1CQH","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1DE8","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1DE9","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1DEW","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1E9N","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","1HD7","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","2ISI","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","2O3H","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","3U8U","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","4IEM","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","4LND","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","4QH9","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","4QHD","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","4QHE","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","5CFG","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","5DFF","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX1","5DFH","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
